record_id,alert_month,alert_section,drug_name,dosage_form,batch_number,mfg_date,expiry_date,manufacturer_raw,manufacturer_id,manufacturer_canonical,manufacturer_state,state,failure_reason,failure_categories,label_claim_disputed,testing_lab,lab_type,lab_name_canonical,source_url,source_type,parse_confidence,parse_flags
NSQ_2026-06_1189209b3c78,2026-06,central_lab,Lenvatinib Capsules IP 4 mg,,ACC2502LV,2025-05,2027-04,"Aprazer Healthcare Pvt. Ltd.,Vill. Kotla, Barotiwala - 174 103 Distt: Solan, Himachal Pradesh",138,Aprazer Healthcare Pvt. Ltd,Himachal Pradesh,Himachal Pradesh,The sample does not conform toI.P. with respect to the test for Identification Lenvatinib mesylate eq. to Lenvatinib.,identification,,CDL Kolkata,central,"Central Drugs Laboratory, Kolkata",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_1214aa0f0260,2026-06,state_lab,Compound Sodium Lactate Injection ( Ringer Lactate Solution for IP ) 500 ml,,OMF241105,2024-11,2026-10,"Haseeb Pharmaceuticala Pvt. Ltd. Plot no. F-9/14,15,16, MIDC Nagpur-440016, India.",614,Haseeb Pharmaceuticala Pvt. Ltd,Maharashtra,Maharashtra,"The Sample does not conform to claim as per IP 2022 in respect to the pH Particulate Matter ,Bacterial Endotoxins & Sterility",sterility|bacterial_endotoxins|particulate_matter|ph,,"DTL, Baddi",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:440016
NSQ_2026-06_125b57b88917,2026-06,state_lab,"Dextromethorphan Hydrobromide, Phenylephrine Hcl, Chlorpheniramine Maleate Syrup",,VDGS-483,2025-09,2027-08,"Vzoic Healthcare Pvt. Ltd., Plot No.236, Ind. Area, Phase-IX, S.A.S Nagar, Mohali-160062 (Pb)",1799,Vzoic Healthcare Pvt. Ltd,Punjab,,Content,assay,,"DTL, Madurai-19",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_ambiguous_pin:160
NSQ_2026-06_148327129f85,2026-06,state_lab,Gamma Benzene Hexachloride Lotion USP,,6P45,2026-04,2028-03,"Yacca Lifesciences Pvt Ltd, (A WHO-GMP Certified Company) 156, Raipur, Bhagwanpur, Roorkee-247661 (INDIA)",1823,Yacca Lifesciences Pvt. Ltd,,,The Cited Product is official in I.P Which it is Printed USP an the label of the cited product.,other,,"SDTL, Punjab",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,0.9,failure_category_unmapped:the cited product is official in i.p which it is printed usp|state_ambiguous_pin:247
NSQ_2026-06_14b7b1e5549f,2026-06,state_lab,"Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup",,OML24074,2024-12,2026-11,"Omish Laboratories Pvt. Ltd., Plot no. D-10, Gallops Industrial Park-1, Ahmedabad- Rajkot Highway, NH 8A, Rajoda, Bavla, Ahmedabad-382220. (Gujarat).",1156,Omish Laboratories Pvt. Ltd,Gujarat,Gujarat,Phenylephrine Hydrochloride Content,assay,,"FDL, Vadodara",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_1635b80c4370,2026-06,state_lab,Tolperisone Hydrochloride 150 mg and Diclofenac Sodium 50 mg,,WON24021G,2024-11,2026-10,"Windlas Biotech Limited (Plant-2), Khasra No. 141 to 143 & 145, Mohabewala Industrial Area, Dehradun-248110, Uttarakhand R.O.: 40/1, Mohabewala Indl. Area, Dehradun",1816,Windlas Biotech Limited (Plant-2),Uttarakhand,Uttarakhand,Content,assay,,"DTL, Madurai-19",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_1689af0ebe50,2026-06,state_lab,Dicyclomine Tablets IP 10 mg,,THY25005AL,2025-04,2028-03,"Hindustan Laboratories Limited, Plot.No. 5-9,1, Survey No. 38/2, Aliyali, Palghar (W), Dist-Palghar-401404(M.S).",655,Hindustan Laboratories Limited,Maharashtra,Maharashtra,Sample does not conform to IP standards with respect to Description.,description_labelling,,RDTL Ernakulam,state,"Regional Drugs Testing Laboratory, Ernakulam (Kerala)",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:401404
NSQ_2026-06_1726bb9b87f5,2026-06,state_lab,Amoxycillin & Potassium Clavulanate Tablets IP,,25442245,2025-06,2026-11,"Alkem Health Science, A Unit of Alkem Laboratories Limited Unit-2, Samardung, Karek Block, P.O.- Namthang, South Sikkim-737137",86,Alkem Health Science,Sikkim,Sikkim,The sample does not conform to I.P. w.r.to the tests for Identification and Assay,identification|assay,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_19610c1b7d1f,2026-06,state_lab,Oral Rehydration Salts IP,,4043,2026-03,2028-02,"Super Formulations Pvt Ltd, 16-B & 15-F, Industrial Area, Maxi Road, Ujjain (M.P) 456010",1591,Super Formulations Pvt. Ltd,Madhya Pradesh,Madhya Pradesh,Net Weight,other,,"SDTL, Punjab",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,0.9,failure_category_unmapped:net weight|state_derived_from_pin:456010
NSQ_2026-06_1a3b712c2b6f,2026-06,state_lab,Azithromycin Oral Suspension IP 100 mg/5ml,,1501/25,2024-08,2026-07,"Livin Formulations Survey no. 807, IDA, Medchal 501401",863,Livin Formulations,Telangana,Telangana,Content of Azithromycin,assay,,"SDT&RL, Bhubaneswar",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:501401
NSQ_2026-06_1a7813a4d1ae,2026-06,state_lab,Paracetamol Tablets IP 500 mg,,AMJ0711,2023-12,2026-11,"Acme Formulations Pvt Ltd., Ropar Road, Nalagarh Distt. Solan, Himachal Pradesh-174 101",31,Acme Formulation Pvt. Ltd,Himachal Pradesh,Himachal Pradesh,Dissolution,dissolution,,"DTL, TVPM",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_1af1a2dd8e58,2026-06,central_lab,Adenosine Injection IP 6 mg/2ml,,I5K048,2025-11,2027-10,"Smayan Healthcare Pvt. Ltd.,Plot No. 8-9-26-27, HPSIDC Ind. Area, Vill. Davni, Baddi, Distt. Solan (H.P.)-173205",1513,Smayan Healthcare Pvt. Ltd,Himachal Pradesh,Himachal Pradesh,The sample does not conforms to I.P. 2022 with respect to the test for pH,ph,,"CDTL, Mumbai",central,"Central Drugs Testing Laboratory, Mumbai",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_1c75cdb35992,2026-06,state_lab,Folic Acid Tablets IP 0.4 mg,,FO1TE063,2024-11,2027-10,"Unicure India Ltd., Plot No. 46 (B),/49B,Vill. Raipur,Bhagwanpur,Roorkee Distt. Haridwar, Uttarakhand",1713,Unicure India Ltd,Uttar Pradesh,Uttarakhand,Sample does not conform to IP standards. It fails the tests Dissolution and Assay as per IP.,dissolution|assay,,"DTL, Konni",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_1e1de7115d3b,2026-06,state_lab,Ranitidine Oral Solution IP,,L5E068,2025-05,2027-04,"Samyan Health Care Pvt. Ltd., Plot No. 26-27, HPSIDC, Ind.Area, Vill. Davni, Baddi, Distt.Solan (HP) 173205",1418,Samyan Health Care Pvt. Ltd,Himachal Pradesh,Himachal Pradesh,Sample does not conform to IP standards with respect to Assay,assay,,"DTL, Thrissur",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:173205
NSQ_2026-06_1f1e0aeb5717,2026-06,state_lab,"Clobetasol Propionate, Neomycin, Miconazole Nitrate & Chlorhexidine Cream",,DLPS5108,2025-11,2027-10,"Leeford Healthcare Ltd, AT-PLOT No.77 ,78, 79-A, 79-B & 116, EPIP, Phase-II, Village - Thana, Tehsil-Baddi, Distt. Solan (HP), India, 173205.",836,Leeford Healthcare Ltd,Himachal Pradesh,Himachal Pradesh,Content,assay,,"DTL, Chennai-06",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:173205
NSQ_2026-06_2391cadfcb40,2026-06,state_lab,"Montelukast, Levocetrizine Dihydrochloride",,ALL1169,2024-08,2026-07,"Arcon Labs, Plot No. 100, DIC, Industrial Area Baddi, Distt.: Solan (H.P.)173205",147,Arcon Labs,Himachal Pradesh,Himachal Pradesh,Content of Montelukast,assay,,"SDT&RL, Bhubaneswar",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_24183382a00e,2026-06,state_lab,Fungal Diastase (Estimated in terms of amylase activity) Pepsin (Estimated in terms ofvolume of undissolved egg albumin),,SR-14,2025-05,2027-04,"Sresan Pharmaceutical Manufacturer No. 787. Bangalore Highways, Sunguvarchathra m(Mathu??), Kancheepuram, Dist-602106",1546,Sresan Pharmaceutical Manufacturer,Tamil Nadu,Tamil Nadu,Alpha amylase activity and Pepsin content,assay,,"SDT&RL, Bhubaneswar",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:602106
NSQ_2026-06_2ada6d3a0459,2026-06,state_lab,Neeta Mehandi Cone,,A12N,2026-01,2026-12,"Yutika Natural Pvt. Ltd., Plot No. 01, Khasra No. 678/2, Siriyari Road, Village Vopari, Tehsil-Marwar Junction, Dist. Pali, Rajasthan 306023.",1836,Yutika Natural Pvt. Ltd,Rajasthan,Rajasthan,The sample of cosmetics ? (C) Does not conform to the claims made on the label as to the nature and quality of the cosmetic with respect to Microbial Contamination.,microbial_contamination,,DTL Jaipur,state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_2aedfd1a6b38,2026-06,state_lab,Telmisartan Tablets IP 20mg,,PRT2601-29,2026-01,2027-12,"Regent Ajanta Biotech 86-87, Vill. Makhiyali Dundi, Peerpura Road, Roorkee-247667, Uttarakhand (India)",1320,Regent Ajanta Biotech,Uttarakhand,Uttarakhand,The sample does not conform to I.P. w.r.to the tests for Dissolution,dissolution,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_2b046b97821c,2026-06,state_lab,"Cilnidipine Tablets IP 10 mg,",,GTV26001,2026-01,2027-12,"VTV Formulations India Pvt Ltd, Khasra No 27, Mandawar, Bhagwanpur, Roorkee, Dist, Haridwar (U.K)",1797,VTV Formulations India Pvt Ltd,Himachal Pradesh,,Sample does not conform to IP 2022 standards. This particular batch sample fails the test Dissolution,dissolution,,"RDTL, Ernakulam",state,"Regional Drugs Testing Laboratory, Ernakulam (Kerala)",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_not_derived:no_match
NSQ_2026-06_2c670b22f25f,2026-06,state_lab,Telmisartan 40mg & Amlodipine 5mg Tablets IP,,BPH252331,2025-08,2027-07,"Aristo Pharmaceuticals Pvt. Ltd., Makhnumajra, P.O.- Bhud Baddi. Distt. Solan (HP)-173205",151,Aristo Pharmaceuticals Pvt. Ltd,Sikkim,Himachal Pradesh,The sample does not conform to I.P. w.r.to the tests for Dissolution,dissolution,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:173205
NSQ_2026-06_2cace5c3b1b9,2026-06,state_lab,Rabeprazole Sodium Tablet IP,,ATG5H619,2025-08,2027-07,"Anrose Pharma 147, Mauza Sansiwala, Barotiwala, Tehsil- Kasauli, Distt. Solan (HP)",126,Anrose Pharma,Himachal Pradesh,,Test For Assay (Content) Of Rabeprazole Sodium,assay,,Delhi,state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_not_derived:no_match
NSQ_2026-06_2da5b8b6fade,2026-06,state_lab,Povidone-Iodine & Metronidazole Ointment,,25343A,2025-08,2027-07,"Athens Life Sciences, Manza Rampur Jattan, Nahan Road, Kala Amb, Distt. Sirmour, HP-173030",176,Athens Life Sciences,Himachal Pradesh,Himachal Pradesh,Content,assay,,"DTL, Madurai-19",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:173030
NSQ_2026-06_328b40669101,2026-06,state_lab,Telmisartan 40mg & Amlodipine Besylate Tablets IP 5mg,,PRT2512-47,2025-12,2027-11,"Regent Ajanta Biotech, 86-87, Vill. Makhiyali Dundi, Peerpura Road, Roorkee-247667 (UK)",1320,Regent Ajanta Biotech,Uttarakhand,,The sample does not conform to I.P. w.r.to the tests for Dissolution,dissolution,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_ambiguous_pin:247
NSQ_2026-06_3433b1b14357,2026-06,central_lab,Deferasirox Dispersible Tablets 100mg,,DFA03G25,2025-07,2027-06,"Bajaj Healthcare Ltd,R.S. No. 1818, Manjusar-Savli Road, At & Post -Manjuasar, Tal. Savli, Dist. Vadodara-391775, Gujarat, India",203,Bajaj Healthcare Ltd,Gujarat,Gujarat,The sample is declared to be not of standard quality for the reason stated under Description and as it does not conform to Manufacturer's Specification with respect to the tests of Hardness and Friability.,description_labelling,,CDL Kolkata,central,"Central Drugs Laboratory, Kolkata",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_351a3376252c,2026-06,state_lab,Phenylephrine Hydrochloride & Chlorpheniramine Maleate Syrup IP,,KKP-006,2025-02,2027-01,"Park Pharmaceuticals, Vill Kalujhanda Near Nanakpur, Teh Baddi, Distt. Solan (H.P) - 174103.",1203,Park Pharmaceuticals,Himachal Pradesh,Himachal Pradesh,Content,assay,,"DTL, Madurai-19",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:174103
NSQ_2026-06_36fba5e8a9a0,2026-06,state_lab,Paracetamol Paediatric Oral suspension IP,,L5DD15,2025-01,2026-12,"Zenith Drugs Ltd. 72/5 & 72/3, 72/4 74/1, 75/1, Muradpura Jorangpura, Dhar Road, NBr. Kalaria, Indore-453001 M.P",1842,Zenith Drugs Pvt. Ltd,Madhya Pradesh,Madhya Pradesh,"The sample does not comply with IP requirement for related substances test. The sample does notshow identification test for colour carmoisine, Hence the sample is misbranded vide rule 96 and section 17(b) and 17 ( c) of Drugs and Cosmetics Act 1940 and Rules thereunder",related_substances|identification|description_labelling,,"FDAL, Mumbai",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:453001
NSQ_2026-06_371f6b38736d,2026-06,state_lab,Paracetamol Paediatric Oral Suspension IP,,L5G175,2025-07,2027-06,"Smayan Healthcare Pvt. Ltd. Plot No. 8- 9-26-27, HPSIDC Industrial Area, Davni, Baddi, Distt. Solan (H.P)-1732025",1513,Smayan Healthcare Pvt. Ltd,Himachal Pradesh,,Test For Assay (Content) Of Paracetamol,assay,,Delhi,state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_not_derived:no_match
NSQ_2026-06_37ca84e382ef,2026-06,state_lab,"Amoxycillin & Potassium Clavulanate Tablets IP 625 MG,",,825D001,2025-01,2026-06,"Medrich Ltd. ,Survey No. 12 &15, Gundarahalli village, Sulibele Hobli, HoskoteTaluk, Bengaluru Rural District-562114",995,Medreich Limited,Karnataka,Karnataka,The sample does not conform to I.P. w.r.to the tests for Identification and Assay,identification|assay,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:562114
NSQ_2026-06_398e3954f102,2026-06,state_lab,Mefenamic Acid and Paracetamol Tablets,,T3209,2024-05,2027-04,"Jersy Pharma, 152-B, South Giri Road, T.P. Kundram, Madurai-625 005",744,Jersy Pharma,Tamil Nadu,,"Sample does not conform to Schedule V of the Drugs Rules, 1945 with respect to the Assay of Mefenamic Acid as specified in the laboratory protocol.",assay,,RDTL Ernakulam,state,"Regional Drugs Testing Laboratory, Ernakulam (Kerala)",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_not_derived:no_match
NSQ_2026-06_3ab2ec9e2086,2026-06,state_lab,Telmisartan & Amlodipine Tablets IP,,25440443,2025-01,2026-12,"Alkem Health Science Unit-2, Samardung, Karek Block, P.O: Namthang, Dist. Namchi, Sikkim-737137",86,Alkem Health Science,Sikkim,Sikkim,The sample does not conform to I.P. w.r.to the tests for Dissolution,dissolution,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_3ad5a0d05a98,2026-06,state_lab,Aceclofenac and Paracetamol,,T251109,2025-11,2027-10,"Medisky Pharmaceuticals Pvt. Ltd., Plot No 260 GIDC Talod 383215 Dist. Sabarkantha Gujrat India",981,Medisky Pharmaceuticals Pvt. Ltd,Gujarat,Gujarat,Misbrandad,description_labelling,,"SDTL,Chhattisgarh",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:383215
NSQ_2026-06_3b5553f815ad,2026-06,state_lab,Vitamin B1 Vitamin B6 Vitamin B2 Niacinamide Calcium D Pentothenate,,10512,2025-02,2027-01,"Healthy Life Pharma Pvt. Ltd., Factory-N31/1, MIIDC Tarapur, Biosar, Dist.: Palghar- (HP) 401506",628,Healthy Life Pharma Pvt. Ltd,Maharashtra,Maharashtra,Vitamin B1 & for reason stated under description,description_labelling,,"SDT&RL, Bhubaneswar",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:401506
NSQ_2026-06_3c0060cbbd5a,2026-06,central_lab,Montelukast Tablets I.P.,,CRT-250217,2025-02,2027-01,"Civron Pharmaceuticals,13 Industrial Area Phase III Sansarpur Terrace Dist Khangra Himachal Pradesh 176501",364,Civron Pharmaceuticals,Himachal Pradesh,Himachal Pradesh,The sample is found to be Not of Standard Quality for the reason stated under Description.,description_labelling,,CDL Kolkata,central,"Central Drugs Laboratory, Kolkata",https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_3cd5f98550b1,2026-06,state_lab,Pantoprazole Gastro Resistant Tablets IP 40mg,,SPG240936,2024-07,2026-12,"Aristo Pharmaceuticals Pvt. Ltd., Plot No-2040-46, NH. 10, Baghey Khola, P.O.- Majhitar, Sikkim-737136",151,Aristo Pharmaceuticals Pvt. Ltd,Sikkim,Sikkim,The sample does not conform to I.P. w.r.to the tests for Identification Assay,identification|assay,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,
NSQ_2026-06_3ee69f629ac7,2026-06,state_lab,Itraconazole Capsule IP 200 mg,,IG25045,2025-06,2027-05,"Innova Captab Ltd., 1281/1, Hilltop Industrial Estate, Near EPIP, Phase-I, Jharmajra, Baddi, Distt. Solan (H.P), India",703,Innova Captab Ltd,Himachal Pradesh,,The sample does not conform to I.P. w.r.to the tests for Dissolution,dissolution,,"SDTL, Guwahati",state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_not_derived:no_match
NSQ_2026-06_405c657b4930,2026-06,state_lab,Povidone- Iodine Solution IP 5%,,PI-61,2025-09,2027-08,"Vinayak Manutrade (P) Ltd., Plot No. 87B, RIICO Industrial Area, Jhotwara, Jaipur (Raj) 302012",1770,Vinayak Manutrade (P) Ltd,Rajasthan,Rajasthan,"The sample does not conform to the IP with respect to Description, Identification pH and Assay (Nil)",identification|description_labelling|ph|assay,,DTL Jaipur,state,,https://cdscoonline.gov.in/CDSCO/filteredNsqDrugTable?month=Jun-2026&source=All&tab=nsq,portal_json,1.0,state_derived_from_pin:302012
